% Using data from: data/PS3.json
@relation "mc_scores"

@attribute "mc_title" string
@attribute "platform" string
@attribute "1UP" real
@attribute "3DJuegos" real
@attribute "4Players.de" real
@attribute "9Lives" real
@attribute "Absolute_Games" real
@attribute "AceGamez" real
@attribute "ActionTrip" real
@attribute "Adventure_Gamers" real
@attribute "Armchair_Empire" real
@attribute "AtomicGamer" real
@attribute "AusGamers" real
@attribute "BigPond_GameArena" real
@attribute "Boomtown" real
@attribute "CD-Action" real
@attribute "Canadian_Online_Gamers" real
@attribute "Cheat_Code_Central" real
@attribute "Computer_Games_Online_RO" real
@attribute "Computer_and_Video_Games" real
@attribute "Console_Gameworld" real
@attribute "Console_Monster" real
@attribute "Cynamite" real
@attribute "D+PAD_Magazine" real
@attribute "Da_Gameboyz" real
@attribute "DailyGame" real
@attribute "DarkStation" real
@attribute "DarkZero" real
@attribute "Deeko" real
@attribute "Destructoid" real
@attribute "Detroit_Free_Press" real
@attribute "Digital_Chumps" real
@attribute "Digital_Entertainment_News" real
@attribute "Digital_Spy" real
@attribute "EGM" real
@attribute "Edge_Magazine" real
@attribute "Electronic_Gaming_Monthly" real
@attribute "Eurogamer" real
@attribute "Eurogamer_Germany" real
@attribute "Eurogamer_Italy" real
@attribute "Eurogamer_Portugal" real
@attribute "Eurogamer_Spain" real
@attribute "Eurogamer_Sweden" real
@attribute "Everyeye.it" real
@attribute "Extreme_Gamer" real
@attribute "G4_TV" real
@attribute "GRYOnline.pl" real
@attribute "Game_Almighty" real
@attribute "Game_Chronicles" real
@attribute "Game_Informer" real
@attribute "Game_Over_Online" real
@attribute "Game_Positive" real
@attribute "Game_Revolution" real
@attribute "GameBrink" real
@attribute "GameCritics" real
@attribute "GameDaily" real
@attribute "GameFocus" real
@attribute "GameFront" real
@attribute "GameOver.gr" real
@attribute "GamePro" real
@attribute "GameShark" real
@attribute "GameSpot" real
@attribute "GameSpy" real
@attribute "GameTap" real
@attribute "GameTrailers" real
@attribute "GameZone" real
@attribute "Gameblog.fr" real
@attribute "Gamekult" real
@attribute "Gameplanet" real
@attribute "Gameplayer" real
@attribute "Gameplayer_Sweden" real
@attribute "Gamer_2.0" real
@attribute "Gamer_Limit" real
@attribute "Gamer's_Hell" real
@attribute "Gamer.nl" real
@attribute "Gamer.no" real
@attribute "GamerNode" real
@attribute "Gamereactor_Denmark" real
@attribute "Gamereactor_Sweden" real
@attribute "Gamers'_Temple" real
@attribute "Gamers.at" real
@attribute "Gamervision" real
@attribute "Games_Master_UK" real
@attribute "Games.cz" real
@attribute "GamesBeat" real
@attribute "GamesNation" real
@attribute "GamesRadar" real
@attribute "Gamestyle" real
@attribute "Gaming_Age" real
@attribute "Gaming_Horizon" real
@attribute "Gaming_Illustrated" real
@attribute "Gaming_Nexus" real
@attribute "Gaming_Target" real
@attribute "GamingExcellence" real
@attribute "GamingTrend" real
@attribute "GamingXP" real
@attribute "Giant_Bomb" real
@attribute "GotNext" real
@attribute "Guardian" real
@attribute "Hardcore_Gamer_Magazine" real
@attribute "HellBored" real
@attribute "Hyper_Magazine" real
@attribute "IC-Games" real
@attribute "IGN" real
@attribute "IGN_AU" real
@attribute "IGN_Italia" real
@attribute "IGN_UK" real
@attribute "Impulsegamer" real
@attribute "IncGamers" real
@attribute "InsideGamer.nl" real
@attribute "JeuxActu" real
@attribute "Jolt_Online_Gaming_UK" real
@attribute "Joystiq" real
@attribute "Just_RPG" real
@attribute "Kikizo" real
@attribute "Kombo" real
@attribute "LEVEL_(Czech_Republic)" real
@attribute "LaPS3" real
@attribute "Lazygamer" real
@attribute "Level7.nu" real
@attribute "LevelUp" real
@attribute "MEGamers" real
@attribute "Machinima" real
@attribute "Maxi_Consolas_(Portugal)" real
@attribute "Meristation" real
@attribute "Metro_GameCentral" real
@attribute "Multiplayer.it" real
@attribute "My_Gamer" real
@attribute "NTSC-uk" real
@attribute "NZGamer" real
@attribute "Next_Level_Gaming" real
@attribute "NowGamer" real
@attribute "Official_PlayStation_Magazine_Benelux" real
@attribute "Official_Playstation_2_Magazine_UK" real
@attribute "Official_U.S._Playstation_Magazine" real
@attribute "Operation_Sports" real
@attribute "PALGN" real
@attribute "PGNx_Media" real
@attribute "PS3bloggen.se" real
@attribute "PSFocus" real
@attribute "PSM_Magazine" real
@attribute "PSM3_Magazine_UK" real
@attribute "PSW_Magazine_UK" real
@attribute "PSX_Extreme" real
@attribute "PSX-Sense.nl" real
@attribute "PTGamers" real
@attribute "Pelit_(Finland)" real
@attribute "Play_Magazine" real
@attribute "Play_UK" real
@attribute "Play.tm" real
@attribute "PlayStation_LifeStyle" real
@attribute "Playstation_Official_Magazine_Australia" real
@attribute "Playstation_Official_Magazine_UK" real
@attribute "Playstation_Universe" real
@attribute "Playstation:_The_Official_Magazine_(US)" real
@attribute "Polygon" real
@attribute "Post_Arcade_(National_Post)" real
@attribute "Pure_Magazine_UK" real
@attribute "Push_Square" real
@attribute "Quarter_to_Three" real
@attribute "RPG_Fan" real
@attribute "RPGamer" real
@attribute "RealGamer" real
@attribute "Riot_Pixels" real
@attribute "SpazioGames" real
@attribute "Strategy_Informer" real
@attribute "Sydney_Morning_Herald" real
@attribute "Telegraph" real
@attribute "The_A.V._Club" real
@attribute "The_Digital_Fix" real
@attribute "The_Escapist" real
@attribute "The_Globe_and_Mail_(Toronto)" real
@attribute "The_New_York_Times" real
@attribute "TheSixthAxis" real
@attribute "Thunderbolt" real
@attribute "Toronto_Sun" real
@attribute "Total_Video_Games" real
@attribute "TotalPlayStation" real
@attribute "UGO" real
@attribute "VGPub" real
@attribute "Vandal_Online" real
@attribute "Variety" real
@attribute "Video_Game_Talk" real
@attribute "VideoGamer" real
@attribute "Videogameszone.de" real
@attribute "WHAM!_Gaming" real
@attribute "Wired" real
@attribute "WonderwallWeb" real
@attribute "Worth_Playing" real
@attribute "XGN" real
@attribute "Xbox_World_360_Magazine_UK" real
@attribute "Yahoo!_Games" real
@attribute "ZTGD" real
@attribute "eToychest" real
@attribute "games(TM)" real
@attribute "netjak" real
@attribute "mc_score" real

@data
"NASCAR 09","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,63,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,63,80,?,?,?,?,?,70,76,?,?,?,?,70,60,?,79,79,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,67,?,?,?,?,?,?,?,?,?,?,?,?,?,?,59,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,55,?,?,?,?,?,?,78,?,?,?,?,?,?,?,?,30,70,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,60,?,?,?,?,73,?,?,?,?,?,?,?,65
"Major League Baseball 2K8","PS3",75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,72,?,?,?,?,?,?,?,?,80,?,?,?,85,70,?,50,?,?,80,?,?,?,?,58,65,40,70,74,70,?,?,?,?,?,64,?,?,?,?,75,?,?,?,?,?,?,?,?,?,70,?,67,?,?,?,?,?,?,?,?,?,?,?,?,?,?,72,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,63,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,67
"MX vs. ATV Untamed","PS3",60,?,?,?,?,60,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,72,60,?,?,?,80,64,?,?,?,?,?,?,?,?,?,?,65,80,70,76,80,?,?,?,50,?,?,?,?,60,?,60,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,60,63,62,?,?,?,?,?,?,?,?,74,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,53,?,?,?,?,58,?,?,?,50,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,60,?,?,?,?,56,?,?,?,75,?,?,?,67
"The Incredible Hulk","PS3",58,?,?,?,?,60,?,?,?,?,?,?,?,?,?,58,?,?,?,35,60,?,?,70,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,68,?,?,?,?,?,60,?,?,?,?,?,55,40,?,58,60,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,55,?,?,?,?,?,?,52,?,?,?,40,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,50,?,?,?,?,75,?,?,?,?,?,?,?,55
"Sacred 2: Fallen Angel","PS3",91,?,?,?,?,70,?,?,?,?,?,?,40,?,?,76,?,?,?,?,70,?,?,78,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,67,?,?,?,80,78,80,?,75,?,?,70,90,?,?,60,83,70,?,?,?,78,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,100,?,?,100,?,65,?,?,?,?,?,?,54,?,?,65,?,?,?,?,?,63,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,60,75,?,?,?,?,?,?,?,?,?,?,?,60,?,?,51,?,60,?,?,?,65,76,?,?,60,70,70,70,?,?,?,?,?,70,?,?,?,72,?,?,?,?,?,?,?,?,60,70,?,?,70,?,?,73,?,?,?,?,?,?,80,?,65,?,?,?,?,?,?,70
"Naruto: Ultimate Ninja Storm","PS3",67,83,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,50,?,?,70,74,?,?,?,?,75,?,?,75,85,?,?,75,?,?,?,?,?,70,?,?,?,?,?,?,?,78,?,?,?,70,?,83,?,?,?,75,90,?,83,?,?,?,?,?,?,?,84,?,?,?,87,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,80,?,?,59,?,?,70,50,85,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,80,?,?,?,81,?,?,?,75
"Damnation","PS3",?,47,?,?,?,30,?,?,?,?,?,?,20,?,?,34,?,?,?,?,?,20,?,?,?,?,?,?,?,?,?,?,?,30,?,?,?,40,?,?,?,?,?,?,?,?,?,30,40,?,?,?,70,?,?,?,?,?,?,35,?,?,?,?,?,?,?,?,30,?,?,?,20,?,?,?,?,?,?,?,55,?,?,?,?,?,33,?,?,?,?,?,?,40,?,?,?,?,?,?,?,25,?,?,?,?,?,35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20,30,?,?,?,?,?,?,?,?,?,45,?,?,?,?,46,?,39,?,?,?,60,38,?,?,30,40,?,30,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,20,?,?,40,?,?,?,38,?,?,?,?,?,?,30,60,20,?,?,55,?,?,?,36
"The Legend of Spyro: Dawn of the Dragon","PS3",33,61,?,?,?,60,?,?,?,?,?,?,?,?,?,66,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,64,?,?,?,50,60,?,?,?,?,?,70,?,?,?,?,50,50,?,?,?,54,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,64,?,?,?,?,?,?,?,?,?,?,?,?,?,56,?,61,?,?,?,?,54,?,?,60,60,55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,65,?,?,?,?,?,?,?,59
"NBA 2K9","PS3",91,87,?,?,?,?,?,?,?,?,?,?,?,?,?,82,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,84,?,?,?,?,80,85,?,?,?,67,80,90,?,84,?,?,?,70,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,90,?,91,?,?,?,?,?,?,86,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,91,?,?,?,?,?,?,?,88,?,?,?,?,?,?,?,?,50,?,?,82,?,86,?,?,?,?,67,?,?,70,80,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,82,?,?,?,84,?,?,?,82
"Blitz: The League II","PS3",42,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,74,?,?,?,?,70,?,?,33,?,?,70,68,?,?,70,75,75,50,?,?,71,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,?,?,80,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,59,?,60,?,?,?,?,70,?,?,?,60,45,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,75,?,?,?,77,?,?,?,62
"Aliens: Colonial Marines","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,62,?,?,?,?,?,?,20,?,?,?,?,?,?,40,?,50,?,?,?,?,60,30,40,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,?,?,?,?,?,?,?,?,?,?,?,?,?,58,49,30,?,?,?,?,50,40,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,?,?,37,55,?,?,?,40,?,25,?,60,35,?,?,30,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,42
"Afro Samurai","PS3",42,73,?,?,?,60,?,?,75,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,60,?,?,79,60,?,?,?,78,65,?,75,?,?,70,78,?,?,70,67,70,40,?,?,69,?,?,70,?,?,72,?,65,60,?,80,?,?,?,?,70,70,?,?,?,50,?,83,?,?,?,?,?,83,?,?,?,?,?,?,?,?,66,62,?,?,69,?,65,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,48,?,?,?,?,?,?,?,?,?,81,50,?,?,64,?,60,?,?,70,?,61,?,?,60,50,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,60,60,?,?,?,65,70,68,?,?,75,?,50,?,65
"Order Up!!","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,59,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,40,?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,?,?,55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,55
"Cabela's Dangerous Hunts 2009","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,38,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,33,?,?,?,?,?,?,?,?,?,?,?,?,?,?,52,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,29,?,?,?,?,?,?,?,?,?,?,30,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,39
"Buzz! Quiz TV","PS3",?,?,?,?,?,80,?,?,?,?,?,85,?,?,?,80,?,?,?,?,70,?,82,?,90,?,?,?,?,?,?,?,?,70,?,80,?,?,?,?,?,?,80,?,?,?,88,83,?,?,?,?,?,?,88,?,?,?,83,75,80,?,?,88,?,?,75,?,?,86,?,?,80,?,?,?,?,76,?,?,?,?,?,?,?,?,67,?,?,?,?,?,85,83,?,?,?,?,?,?,59,89,?,?,78,?,?,?,?,86,?,?,?,80,?,?,?,?,?,?,?,85,?,?,?,?,?,80,?,?,?,?,?,?,75,90,?,?,?,81,?,88,?,75,?,?,82,82,?,?,80,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,80,?,80,90,?,?,?,?,?,80,?,?,?,81,88,?,?,?,85,?,60,?,80
"Golden Axe: Beast Rider","PS3",25,58,?,?,?,?,?,?,?,?,?,?,?,?,?,48,?,?,?,39,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,60,?,?,58,?,?,70,35,?,?,40,?,50,?,?,55,?,?,?,?,50,?,?,?,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,62,?,?,?,?,?,?,?,32,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45,?,?,?,?,35,?,49,?,45,?,?,?,55,?,40,40,?,30,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,40,?,?,?,?,50,?,?,?,?,?,50,?,44
"FaceBreaker","PS3",42,71,?,?,?,?,?,?,?,?,?,?,?,?,?,38,?,?,?,40,70,?,?,?,?,30,?,15,?,?,?,?,?,30,?,?,?,?,?,?,?,?,?,20,?,?,?,78,?,?,?,?,?,60,72,?,?,70,33,35,50,?,?,72,?,?,60,?,?,40,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,42,?,?,?,?,?,?,61,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,40,?,65,?,80,40,?,?,?,?,62,?,?,?,?,?,?,?,?,?,?,?,48,?,69,?,50,?,?,55,?,?,70,40,80,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,?,?,?,?,53
"Baja: Edge of Control","PS3",83,58,?,?,?,?,?,?,?,?,?,?,?,?,?,52,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,66,?,?,?,83,65,70,?,70,60,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,68,?,60,?,?,?,?,?,?,?,49,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,20,50,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,61
"NHL 2K9","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,58,?,?,?,?,?,?,77,69,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68,?,?,42,?,?,80,78,?,?,?,75,60,60,?,?,64,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,77,?,77,?,?,?,?,71,?,?,?,80,80,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70
"SBK X: Superbike World Championship","PS3",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,67,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,73
"Ferrari Challenge Trofeo Pirelli","PS3",?,?,?,?,?,70,?,?,?,?,?,?,60,?,?,82,?,?,?,60,?,?,75,?,?,?,?,?,?,?,?,?,?,70,?,70,?,?,?,?,?,?,?,?,?,?,?,78,?,?,42,?,?,?,70,?,?,?,?,65,?,?,?,55,?,?,80,70,?,?,?,?,50,?,70,?,?,?,?,?,78,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68,?,?,83,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,71,70,89,?,65,90,?,?,82,?,?,80,70,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,?,70,?,?,?,83,80,?,?,?,74,?,?,?,71
"Disgaea 3: Absence of Justice","PS3",67,67,?,?,?,70,?,?,?,?,?,?,?,?,?,90,?,?,?,85,?,?,?,?,?,?,?,75,?,?,?,?,?,80,?,80,?,?,?,?,?,?,85,?,?,?,81,83,?,?,67,?,?,?,?,?,?,80,83,75,70,?,?,77,?,?,?,?,?,78,?,?,?,?,90,?,?,?,80,?,?,?,?,?,70,?,75,?,?,83,?,?,75,?,?,?,?,80,?,?,?,67,?,?,?,?,?,73,?,?,?,?,90,85,?,?,?,80,?,?,?,?,70,80,73,?,?,?,?,?,?,?,?,?,?,?,70,?,?,82,?,85,?,?,84,?,81,?,?,80,90,?,80,?,?,?,?,?,87,70,?,?,73,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,80,?,80,?,?,?,?,?,75,65,?,?,89,?,90,?,78
"Monster Madness: Grave Danger","PS3",16,59,?,?,?,40,?,?,?,?,?,?,?,?,?,58,?,?,?,45,?,?,61,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,73,?,?,?,?,?,70,65,?,?,?,?,50,?,?,?,59,?,?,?,?,?,?,?,?,50,?,?,?,?,41,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,55,?,?,?,?,?,?,?,52,?,?,?,?,?,?,?,45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,38,?,59,?,?,?,?,78,?,?,?,50,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,50,?,?,?,50,?,?,?,?,72,?,?,?,55
"Shaun White Snowboarding","PS3",33,79,?,?,?,?,?,?,?,?,?,?,?,?,?,58,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40,?,?,?,?,?,?,66,?,?,?,?,68,?,?,?,?,?,?,?,?,?,60,58,50,70,?,79,73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,42,?,?,?,?,55,?,73,?,?,?,?,?,?,?,71,81,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,50,?,?,68,?,70,?,?,?,?,72,?,?,60,50,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,60,?,?,?,?,60,?,?,80,?,?,?,?,63
"Pure","PS3",83,80,?,?,?,?,?,?,?,?,?,?,70,?,?,76,?,?,?,?,90,?,?,85,?,80,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,88,80,?,?,?,85,?,?,83,?,?,90,?,?,?,?,91,80,80,?,86,88,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,90,85,?,?,?,?,?,100,?,?,83,?,?,?,?,80,?,?,?,?,?,?,86,88,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,93,?,?,?,?,?,?,80,80,?,?,?,?,?,?,?,?,?,?,?,75,?,90,?,85,?,?,80,?,?,90,70,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,85,?,?,?,80,?,90,?,?,?,?,?,?,?,?,88,?,80,?,83
"Pro Evolution Soccer 2009","PS3",67,69,?,?,?,70,?,?,?,?,?,?,?,?,?,68,?,?,?,?,90,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,58,?,?,?,?,?,?,?,58,70,?,?,76,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,88,?,?,?,?,49,?,?,72,?,?,85,88,?,?,?,?,?,?,?,?,80,?,?,80,?,68,?,85,?,?,?,?,?,78,?,?,?,?,?,?,?,?,?,?,?,88,?,?,?,80,?,?,80,?,?,80,90,?,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,80,?,?,?,85,?,?,70,?,?,?,?,?,?,?,?,?,?,60,?,77
