% Using data from: data/X360.json
@relation "mc_scores"

@attribute "mc_title" string
@attribute "platform" string
@attribute "1UP" real
@attribute "360_Gamer_Magazine_UK" real
@attribute "3DAvenue" real
@attribute "3DJuegos" real
@attribute "4Players.de" real
@attribute "9Lives" real
@attribute "Absolute_Games" real
@attribute "AceGamez" real
@attribute "ActionTrip" real
@attribute "Adrenaline_Vault" real
@attribute "Adventure_Gamers" real
@attribute "Armchair_Empire" real
@attribute "AtomicGamer" real
@attribute "AusGamers" real
@attribute "BigPond_GameArena" real
@attribute "Bit-Gamer" real
@attribute "BonusStage" real
@attribute "Boomtown" real
@attribute "CD-Action" real
@attribute "Canadian_Online_Gamers" real
@attribute "Cheat_Code_Central" real
@attribute "Cincinnati_Enquirer" real
@attribute "Computer_Games_Magazine" real
@attribute "Computer_Games_Online_RO" real
@attribute "Computer_and_Video_Games" real
@attribute "Console_Gameworld" real
@attribute "Console_Monster" real
@attribute "Cynamite" real
@attribute "D+PAD_Magazine" real
@attribute "Da_Gameboyz" real
@attribute "DailyGame" real
@attribute "DarkStation" real
@attribute "DarkZero" real
@attribute "Deeko" real
@attribute "Destructoid" real
@attribute "Detroit_Free_Press" real
@attribute "Digital_Chumps" real
@attribute "Digital_Entertainment_News" real
@attribute "Digital_Spy" real
@attribute "EGM" real
@attribute "Edge_Magazine" real
@attribute "Electric_Playground" real
@attribute "Electronic_Gaming_Monthly" real
@attribute "Entertainment_Weekly" real
@attribute "Eurogamer" real
@attribute "Eurogamer_Germany" real
@attribute "Eurogamer_Italy" real
@attribute "Eurogamer_Portugal" real
@attribute "Eurogamer_Spain" real
@attribute "Eurogamer_Sweden" real
@attribute "Everyeye.it" real
@attribute "Extreme_Gamer" real
@attribute "Firing_Squad" real
@attribute "Four_Fat_Chicks" real
@attribute "G4_TV" real
@attribute "GRYOnline.pl" real
@attribute "Game_Almighty" real
@attribute "Game_Chronicles" real
@attribute "Game_Informer" real
@attribute "Game_Over_Online" real
@attribute "Game_Positive" real
@attribute "Game_Power_Australia" real
@attribute "Game_Revolution" real
@attribute "GameBiz" real
@attribute "GameBrink" real
@attribute "GameCritics" real
@attribute "GameDaily" real
@attribute "GameFocus" real
@attribute "GameFront" real
@attribute "GameOver.gr" real
@attribute "GamePro" real
@attribute "GameShark" real
@attribute "GameSpot" real
@attribute "GameSpy" real
@attribute "GameTap" real
@attribute "GameTrailers" real
@attribute "GameZone" real
@attribute "Gameblog.fr" real
@attribute "Gamekult" real
@attribute "Gamenikki" real
@attribute "Gameplanet" real
@attribute "Gameplayer" real
@attribute "Gameplayer_Sweden" real
@attribute "Gamer_2.0" real
@attribute "Gamer_Limit" real
@attribute "Gamer's_Hell" real
@attribute "Gamer.nl" real
@attribute "Gamer.no" real
@attribute "GamerFeed" real
@attribute "GamerNode" real
@attribute "Gamereactor_Denmark" real
@attribute "Gamereactor_Sweden" real
@attribute "Gamers_Europe" real
@attribute "Gamers'_Temple" real
@attribute "Gamers.at" real
@attribute "Gamervision" real
@attribute "Games_Master_UK" real
@attribute "Games_Radar" real
@attribute "Games.cz" real
@attribute "GamesBeat" real
@attribute "GamesNation" real
@attribute "GamesRadar" real
@attribute "Gamestyle" real
@attribute "Gamezilla!" real
@attribute "Gaming_Age" real
@attribute "Gaming_Horizon" real
@attribute "Gaming_Illustrated" real
@attribute "Gaming_Nexus" real
@attribute "Gaming_Target" real
@attribute "GamingExcellence" real
@attribute "GamingTrend" real
@attribute "GamingXP" real
@attribute "Giant_Bomb" real
@attribute "GotNext" real
@attribute "Guardian" real
@attribute "Hardcore_Gamer_Magazine" real
@attribute "HellBored" real
@attribute "Hyper_Magazine" real
@attribute "IC-Games" real
@attribute "IGN" real
@attribute "IGN_AU" real
@attribute "IGN_Italia" real
@attribute "IGN_UK" real
@attribute "Impulsegamer" real
@attribute "IncGamers" real
@attribute "InsideGamer.nl" real
@attribute "Into_Liquid_Sky" real
@attribute "JeuxActu" real
@attribute "Jolt_Online_Gaming_UK" real
@attribute "Joystiq" real
@attribute "Just_Adventure" real
@attribute "Just_RPG" real
@attribute "Kikizo" real
@attribute "Kombo" real
@attribute "LEVEL_(Czech_Republic)" real
@attribute "Lazygamer" real
@attribute "Level7.nu" real
@attribute "LevelUp" real
@attribute "MEGamers" real
@attribute "MS_Xbox_World" real
@attribute "Machinima" real
@attribute "Maxi_Consolas_(Portugal)" real
@attribute "Maxim_Online" real
@attribute "Meristation" real
@attribute "Metro_GameCentral" real
@attribute "MondoXbox" real
@attribute "Multiplayer.it" real
@attribute "My_Gamer" real
@attribute "NTSC-uk" real
@attribute "NZGamer" real
@attribute "Next_Level_Gaming" real
@attribute "NowGamer" real
@attribute "Official_Xbox_Magazine" real
@attribute "Official_Xbox_Magazine_UK" real
@attribute "Operation_Sports" real
@attribute "PALGN" real
@attribute "PGNx_Media" real
@attribute "PTGamers" real
@attribute "Pelit_(Finland)" real
@attribute "Planet_Xbox_360" real
@attribute "Play_Magazine" real
@attribute "Play.tm" real
@attribute "Polygon" real
@attribute "Post_Arcade_(National_Post)" real
@attribute "Quarter_to_Three" real
@attribute "RPG_Fan" real
@attribute "RPGamer" real
@attribute "RealGamer" real
@attribute "RewiredMind" real
@attribute "SpazioGames" real
@attribute "Strategy_Informer" real
@attribute "Stuff" real
@attribute "Sydney_Morning_Herald" real
@attribute "Talk_Xbox" real
@attribute "TeamXbox" real
@attribute "Telegraph" real
@attribute "Ten_Ton_Hammer" real
@attribute "The_A.V._Club" real
@attribute "The_Digital_Fix" real
@attribute "The_Escapist" real
@attribute "The_Globe_and_Mail_(Toronto)" real
@attribute "The_New_York_Times" real
@attribute "Thunderbolt" real
@attribute "Times_Online" real
@attribute "Toronto_Sun" real
@attribute "Total_Video_Games" real
@attribute "Totally360" real
@attribute "UGO" real
@attribute "VGPub" real
@attribute "Vandal_Online" real
@attribute "Variety" real
@attribute "Video_Game_Talk" real
@attribute "VideoGamer" real
@attribute "Videogameszone.de" real
@attribute "WHAM!_Gaming" real
@attribute "Wired" real
@attribute "WonderwallWeb" real
@attribute "Worth_Playing" real
@attribute "X360_Magazine_UK" real
@attribute "XGN" real
@attribute "XGP_Gaming" real
@attribute "Xbox_Evolved" real
@attribute "Xbox_Solution" real
@attribute "Xbox_World_360_Magazine_UK" real
@attribute "Xbox_World_Australia" real
@attribute "Xbox360Achievements" real
@attribute "XboxAddict" real
@attribute "Xboxic" real
@attribute "Xequted" real
@attribute "Yahoo!_Games" real
@attribute "ZTGD" real
@attribute "eToychest" real
@attribute "games(TM)" real
@attribute "netjak" real
@attribute "mc_score" real

@data
"NHL 08","X360",95,?,?,?,?,?,?,80,?,?,?,85,?,?,?,?,?,80,?,?,?,?,?,?,?,82,85,?,?,?,84,90,?,?,?,?,?,?,?,?,?,?,92,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,85,88,?,?,50,?,?,80,80,?,?,?,90,83,85,90,100,?,90,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,90,88,?,?,?,?,90,80,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,89,?,?,?,?,?,?,?,?,88,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,80,90,80,92,?,88,86,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,?,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,70,?,?,?,?,86,?,80,?,?,?,90,?,?,80,?,85
"The Bigs","X360",85,?,?,?,?,?,?,?,?,?,?,?,87,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,?,80,77,?,?,?,?,?,?,?,?,?,?,?,82,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,?,?,?,80,?,?,?,?,?,80,80,?,?,?,?,?,?,?,?,?,79,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,60,?,?,83,?,?,80,?,?,?,?,?,?,?,?,?,?,?,83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,80,?,?,?,?,81,?,?,?,?,?,?,?,?,?,?,?,?,?,?,84,?,?,91,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,79
"Thrillville: Off the Rails","X360",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,82,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,70,78,?,?,67,?,?,?,?,?,?,?,75,67,75,70,60,?,82,?,?,?,?,?,?,72,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,79,?,?,?,?,?,?,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,60,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,70,?,?,?,?,83,?,?,?,?,?,?,?,?,70,?,73
"Bee Movie Game","X360",?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,74,77,?,?,?,?,?,?,79,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,72,88,?,?,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,79,?,?,?,?,?,?,?,50,?,?,?,?,?,70,?,?,70,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,76,?,?,?,?,80,70,?,?,80,65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,80,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,75,?,?,?,71
"Lost: Via Domus","X360",42,30,?,?,?,?,?,60,?,?,?,?,72,?,?,?,?,?,?,?,84,?,?,?,?,?,76,70,?,60,58,?,?,?,?,?,?,?,?,?,30,?,?,?,70,?,?,?,?,?,?,?,?,?,40,?,?,?,68,?,?,?,?,?,?,?,50,?,?,?,?,42,65,40,40,52,?,?,?,?,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,58,?,?,?,?,?,20,?,42,?,?,?,?,?,?,?,40,?,?,?,?,?,?,55,?,?,?,?,?,?,?,?,41,?,42,?,?,?,?,?,?,?,62,75,?,55,?,?,?,?,?,?,?,?,?,?,40,40,?,60,?,55,80,59,?,80,?,?,?,?,?,?,?,?,?,?,?,?,65,?,?,?,?,?,?,?,50,?,?,60,70,?,?,?,?,?,60,?,?,?,?,65,60,?,?,?,?,33,65,55,68,?,?,?,65,?,?,?,55
"BlackSite: Area 51","X360",60,70,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,79,?,?,73,?,?,?,60,?,?,?,?,?,?,40,?,57,?,50,?,?,?,?,?,?,58,?,?,?,?,?,62,75,60,62,?,25,?,?,?,70,?,?,?,80,?,65,50,60,54,65,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,?,?,?,?,71,?,?,?,?,50,?,?,58,?,?,?,?,?,?,?,?,?,?,?,?,?,70,64,?,?,?,?,?,?,?,?,?,?,?,?,?,75,?,?,?,?,?,70,?,50,?,?,?,?,?,?,20,?,?,?,60,60,?,60,?,55,70,67,?,85,?,?,?,?,?,?,?,?,?,?,?,61,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,66,50,?,?,?,?,51,?,?,?,?,?,?,75,?,60,?,62
"The Club","X360",65,80,?,?,?,?,?,80,67,?,?,70,81,?,?,?,?,?,?,?,72,?,?,?,?,?,78,?,?,?,?,80,?,?,70,?,?,?,?,?,70,?,62,?,80,?,?,?,?,?,?,82,?,?,90,?,?,?,88,75,70,?,58,?,?,55,80,?,?,?,90,67,70,70,60,73,82,?,?,?,80,80,?,80,?,?,70,?,?,?,?,?,?,?,?,70,86,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,80,?,?,?,?,?,69,84,?,72,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,80,80,?,75,?,?,?,?,?,?,80,?,?,?,80,80,?,75,?,?,80,73,50,87,?,?,?,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,?,?,80,?,?,80,100,?,?,?,?,?,90,?,?,?,?,81,80,?,?,?,?,81,70,80,?,?,?,?,75,?,70,?,76
"Enemy Territory: Quake Wars","X360",42,80,?,?,?,?,?,70,?,?,?,?,76,?,?,?,?,?,?,?,76,?,?,?,?,75,77,?,?,68,70,70,70,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,?,60,?,?,60,?,?,95,80,?,?,?,?,?,?,?,60,63,?,?,75,75,65,60,?,?,85,?,?,?,?,?,?,77,?,?,?,?,?,?,?,?,?,70,?,?,76,?,?,?,?,?,?,?,50,?,?,58,82,?,58,?,?,70,?,?,?,?,?,61,?,?,?,?,?,?,?,?,73,?,?,?,?,?,?,?,?,?,?,60,?,75,?,?,?,?,?,62,?,?,?,?,75,80,?,70,84,65,75,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,74,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,60,80,?,?,70,50,60,60,?,?,?,?,?,56,70,?,?,?,?,81,?,?,?,69
"Blazing Angels 2: Secret Missions of WWII","X360",80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,75,75,?,?,?,?,?,?,?,?,?,?,?,58,70,70,?,79,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,79,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,80,60,?,65,?,?,75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,78,?,?,?,?,?,?,?,60,?,?,?,?,?,?,?,?,?,70,?,?,?,?,75,?,?,?,?,?,66,72,?,?,?,?,?,?,?,60,?,72
"Kameo: Elements of Power","X360",70,60,?,?,?,?,?,100,?,?,?,79,?,?,?,?,79,?,?,?,80,?,70,?,90,?,?,?,?,92,86,80,?,85,?,75,?,78,?,?,70,?,63,?,50,?,?,?,?,?,?,80,?,?,80,?,?,92,75,85,?,85,67,?,83,60,?,?,?,?,60,67,87,80,?,?,89,?,?,?,?,?,?,77,?,86,?,?,70,?,?,?,?,85,?,?,?,?,?,?,?,80,80,92,67,82,76,78,90,?,87,?,?,?,?,?,?,?,?,84,?,?,?,?,79,?,67,?,81,?,?,88,?,81,?,?,?,?,?,80,?,?,?,?,?,?,?,96,70,?,?,?,85,?,?,60,90,?,88,87,95,?,?,?,?,?,?,?,?,?,?,?,70,84,88,?,?,?,?,?,?,74,80,100,?,80,?,?,?,?,?,?,?,?,?,?,?,85,?,?,92,89,?,?,78,?,88,80,?,80,90,78,70,?,79
"Ace Combat 6: Fires of Liberation","X360",65,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,80,?,?,?,?,?,84,?,?,?,?,80,?,?,?,?,?,90,?,?,80,?,70,?,80,?,?,?,?,?,?,?,?,?,80,?,82,?,88,?,?,?,42,?,?,?,80,?,?,?,80,75,85,80,90,82,85,?,?,?,?,?,?,?,?,85,?,?,?,75,?,?,?,?,?,?,86,?,?,?,?,90,?,?,83,?,?,79,88,?,?,?,?,?,?,?,?,?,89,84,?,?,?,?,?,?,?,?,90,?,?,?,?,80,?,?,?,?,?,85,?,85,?,?,?,?,?,76,?,?,?,?,85,80,?,80,?,?,89,?,85,90,?,?,?,?,?,?,?,?,?,?,?,?,88,?,?,?,?,?,?,?,90,?,?,70,?,?,?,?,?,80,80,?,?,?,?,75,70,?,?,?,?,80,?,84,82,?,?,?,90,?,70,?,80
"FIFA Soccer 08","X360",90,?,?,?,?,?,?,80,88,?,?,90,?,?,?,?,?,90,?,?,84,?,?,?,?,?,82,?,?,81,?,80,?,?,?,?,?,?,?,?,?,?,87,?,80,?,?,?,?,?,?,?,?,?,?,?,?,89,78,85,79,?,?,?,?,?,?,?,?,?,?,?,85,90,80,88,85,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,88,?,?,75,?,?,?,?,?,70,?,83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,79,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,?,?,80,80,90,?,?,?,?,91,?,91,?,?,?,?,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,80,80,?,?,?,?,80,70,?,?,?,?,72,75,?,?,?,?,70,?,?,80,?,82
"World Series of Poker: Tournament of Champions","X360",?,50,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,?,?,74,?,65,?,?,?,?,?,?,70,?,?,?,?,?,64,?,?,?,68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,84,?,?,?,?,?,?,?,?,?,?,?,?,72,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,60,80,?,78,?,?,70,?,?,?,?,?,?,?,?,?,?,?,?,60,?,81,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,71,?,?,?,?,?,?,70,?,?,?,69
"Virtua Tennis 3","X360",65,90,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,73,?,90,?,?,?,?,?,?,80,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,?,?,85,?,84,80,?,?,82,?,?,?,?,?,?,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,?,?,?,?,80,?,83,?,?,80,75,?,?,?,?,?,?,75,?,?,?,80,?,?,?,?,?,?,?,?,85,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,80,?,?,?,85,90,?,80,?,?,?,83,?,?,?,?,?,?,?,?,?,?,?,?,?,80,68,?,?,75,?,?,?,?,80,?,?,?,?,?,?,?,?,?,90,?,?,?,?,?,80,?,?,?,?,?,?,?,80,80,?,80,?,?,?,?,80
"Frontlines: Fuel of War","X360",58,?,?,?,?,?,?,70,?,?,?,80,79,?,?,?,?,?,?,?,84,?,?,?,?,?,?,?,?,?,?,80,?,80,?,?,?,?,?,?,70,?,64,?,70,?,?,?,?,?,?,76,?,?,80,?,?,82,73,80,?,?,42,?,?,?,80,?,?,?,80,75,75,80,70,77,80,?,?,?,90,80,?,73,?,?,70,?,?,65,?,?,?,85,?,?,85,?,?,?,?,?,?,?,67,?,?,84,?,67,72,?,?,?,?,?,?,?,?,76,?,?,?,?,?,?,?,?,83,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,76,?,80,?,?,90,70,?,80,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,81,?,?,?,?,?,?,?,60,?,?,80,80,?,?,?,?,?,80,?,?,?,?,82,60,?,?,?,?,72,?,73,86,?,?,?,?,?,70,?,75
"Chromehounds","X360",80,60,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,84,?,100,?,?,?,?,?,?,?,?,80,?,80,?,75,?,74,?,?,?,?,63,?,40,?,?,?,?,?,?,?,?,?,60,?,82,79,70,82,?,?,50,?,56,75,?,?,?,?,60,67,79,70,?,?,74,?,?,?,?,?,?,?,?,62,?,?,40,?,?,?,?,?,?,?,51,?,?,?,?,70,70,?,83,?,?,?,80,81,80,?,?,?,?,?,?,?,?,69,?,?,?,?,?,?,?,?,66,?,?,?,?,85,?,?,?,?,?,80,?,?,?,?,?,?,?,92,80,?,70,?,65,60,?,70,?,?,83,77,70,62,?,?,?,?,?,?,?,?,?,?,50,78,87,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,?,50,?,?,?,?,71,50,?,?,50,87,?,63,?,?,?,?,90,?,85,50,?,71
"Project Gotham Racing 3","X360",100,80,80,?,?,?,?,90,?,?,?,83,86,?,?,?,90,90,?,?,92,?,50,?,90,?,?,?,?,89,88,90,?,100,?,75,?,90,?,?,90,?,90,?,80,?,?,?,?,?,?,95,?,?,80,?,?,86,85,?,?,85,83,90,?,?,?,?,?,?,80,91,88,90,?,?,90,?,?,80,?,?,?,92,?,88,?,?,80,?,?,?,?,92,?,?,?,?,?,?,?,?,90,94,91,?,?,?,95,?,93,?,?,?,?,?,?,?,?,88,?,?,?,?,90,?,?,?,95,?,?,?,?,92,?,?,?,?,?,90,?,?,?,?,?,?,?,?,90,?,95,?,90,?,90,80,95,?,88,89,90,91,?,?,?,?,?,?,?,?,?,?,80,92,94,?,?,?,?,?,?,?,90,?,?,80,?,?,90,?,?,?,?,?,90,?,?,95,?,?,89,90,90,?,93,?,84,90,?,90,100,89,90,?,88
"Sega Rally Revo","X360",75,90,?,?,?,?,?,90,?,?,?,?,?,?,?,?,?,?,?,?,82,?,?,?,?,?,78,?,?,?,67,?,?,?,?,?,?,75,?,?,70,?,72,?,90,?,?,?,?,?,?,75,?,?,?,?,?,69,65,?,?,?,42,?,?,?,80,?,?,?,80,?,75,80,60,?,75,?,?,?,?,?,?,71,?,?,?,?,?,80,?,?,?,?,?,?,92,?,?,?,?,?,?,?,75,?,?,80,?,?,?,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,?,79,?,?,?,?,?,80,?,?,?,?,?,?,?,?,?,?,?,?,75,90,?,?,?,?,86,72,85,85,?,?,?,?,?,?,?,?,?,?,?,?,78,?,?,?,?,?,?,?,70,?,?,?,?,?,?,?,?,70,80,?,?,?,?,70,80,?,?,?,?,88,?,?,?,?,?,?,?,?,80,?,77
"The Elder Scrolls IV: Oblivion","X360",90,90,80,?,?,?,?,90,?,?,?,98,?,?,?,?,95,100,?,?,98,?,?,?,?,95,?,?,?,95,?,90,?,95,?,100,?,97,?,?,80,?,92,100,100,?,?,?,?,?,?,100,?,?,100,?,?,100,95,95,?,?,91,90,90,90,?,?,?,?,90,91,96,80,?,94,97,?,?,90,?,?,?,96,?,?,?,?,90,?,?,?,90,98,?,?,?,?,?,?,?,100,90,95,91,95,96,91,97,98,?,?,?,?,?,?,?,?,?,93,?,?,?,?,93,?,100,?,94,?,100,94,?,93,?,?,?,?,?,95,?,?,?,?,?,?,?,98,100,?,98,?,95,100,?,90,98,?,94,95,95,93,?,?,?,90,?,?,90,?,?,?,100,96,95,?,?,100,?,?,?,92,100,100,?,90,?,?,98,?,?,?,90,?,90,?,?,98,90,?,91,97,95,?,?,?,100,90,?,100,95,98,90,?,94
"Spider-Man: Friend or Foe","X360",?,?,?,?,?,?,?,60,70,?,?,70,?,?,?,?,?,?,?,?,80,?,?,?,?,?,?,?,?,70,70,?,?,?,?,?,?,68,?,?,?,?,?,?,30,?,?,?,?,?,?,40,?,?,?,?,62,82,45,55,?,?,50,?,?,?,70,?,?,?,70,58,70,80,60,58,64,?,?,?,?,?,?,?,?,?,?,?,?,60,?,?,?,60,?,?,70,?,?,?,?,50,?,?,?,?,?,69,?,65,58,?,?,?,?,?,?,?,70,49,?,?,?,?,?,?,?,?,60,?,?,?,?,55,?,?,?,?,64,65,?,?,?,?,?,?,?,40,50,?,?,?,60,30,?,?,80,50,?,?,?,42,?,?,?,?,?,?,?,?,?,?,?,?,71,?,?,?,?,?,?,?,50,?,?,?,?,?,?,?,?,60,50,?,?,?,?,75,60,?,?,?,?,55,?,?,50,?,?,?,70,?,?,?,60
"Mortal Kombat vs. DC Universe","X360",67,?,?,80,?,?,?,60,72,?,?,70,?,?,65,?,?,60,?,?,76,?,?,78,?,?,64,?,60,?,?,?,?,90,70,?,?,?,?,?,?,?,?,?,60,?,?,70,?,?,?,68,?,?,60,?,?,81,85,86,65,?,58,?,?,40,80,86,?,?,80,?,75,70,?,?,79,?,?,?,?,70,?,?,?,95,70,?,?,?,?,?,?,78,?,80,?,?,?,?,?,?,70,?,58,?,?,?,84,?,?,?,100,?,?,70,?,?,?,75,?,?,?,?,?,72,?,?,?,?,?,?,?,?,60,?,40,?,?,75,?,?,?,75,?,?,?,?,?,75,?,?,85,70,?,?,?,?,?,83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,80,?,?,50,?,?,?,?,70,?,?,?,70,?,?,?,75,?,70,?,?,?,80,70,70,?,?,?,?,70,?,75,?,?,?,?,84,?,?,?,72
"Fight Night Round 4","X360",91,?,?,86,?,?,?,90,?,?,?,90,78,?,80,?,?,80,?,?,94,?,?,?,?,?,82,90,?,80,90,90,80,?,70,?,?,?,?,?,80,?,?,?,80,?,90,?,90,?,90,?,?,?,?,?,?,82,90,?,?,?,91,?,?,?,90,89,?,?,90,83,80,90,?,89,90,?,?,?,90,80,80,?,90,?,80,?,?,?,?,?,?,?,?,95,91,?,?,?,89,?,?,?,100,?,?,?,?,?,?,79,80,?,?,85,78,?,?,88,?,?,?,91,?,?,?,?,?,?,?,?,80,?,90,?,80,?,92,90,?,?,?,85,80,92,90,?,?,?,?,?,90,90,?,?,?,?,92,91,?,95,?,?,?,?,?,80,?,90,?,?,?,?,89,90,?,?,?,?,?,?,?,?,?,80,90,?,?,85,?,?,90,?,?,?,95,90,90,80,?,?,?,90,80,88,?,?,?,?,90,?,80,?,87
"50 Cent: Blood on the Sand","X360",50,?,?,68,?,?,?,80,?,?,?,?,?,?,?,?,?,70,?,?,78,?,?,?,70,?,?,?,50,80,?,?,70,?,80,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,?,78,?,?,80,?,?,?,80,?,?,?,?,?,?,50,80,81,?,?,70,75,70,?,?,?,65,?,?,?,75,80,?,?,?,65,60,?,?,?,?,?,?,?,?,78,83,?,?,?,?,?,?,?,?,?,?,50,?,?,?,?,60,?,?,?,76,?,?,71,75,?,76,?,?,70,?,?,?,?,?,?,?,80,?,?,?,?,?,70,?,?,?,65,70,80,?,?,?,?,?,?,65,70,?,70,85,?,?,?,?,77,?,?,?,?,?,?,?,71,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,70,?,?,?,?,?,70,?,?,60,?,75,70,?,?,?,?,63,?,71,?,?,?,?,75,?,60,?,71
